"first_h2","h1","pageTitle","random_text_from_the_page","url"
"","Xu Yin Tan","Xu Yin Tan's Profile - Sedunia
","","https://www.sedunia.me/users/xu-yin-tan"
"","Academic Mentorship Program for HIV Infected and Affected Children","Academic Mentorship Program for HIV Infected and Affected Children - Fundraising Campaigns - Sedunia
","Provide academic mentorship for children left behind due to illness and poverty.
				","https://www.sedunia.me/campaigns/academic-mentorship-program-for-hiv-infected-and-affected-children"
"Break the cycle! Give them a 2ND CHANCE! ","2ND CHANCE PROGRAM - PTF","2ND CHANCE PROGRAM - PTF - Groups - Sedunia
","{{ followerCountText }}  |  43 missions  |   202.5 mission hours","https://www.sedunia.me/groups/sedunia-ptf"
"","Dream Big with me - Heidy's 27th birthday fundraiser","Dream Big with me - Heidy's 27th birthday fundraiser - Fundraising Campaigns - Sedunia
","Fundraising for 3 causes close to my heart that has been most impacted by the COVID-19 pandemic. 
				 Justice & Equality","https://www.sedunia.me/campaigns/dream-big-with-me-heidy-s-27th-birthday-fundraiser"
"","Heidy Quah","Heidy Quah's Profile - Sedunia
","","https://www.sedunia.me/users/heidy-quah"
"","GoJob Mart","GoJob Mart - Fundraising Campaigns - Sedunia
","Help us set up a food mart dedicated to providing food security to the urban poor around us!
				","https://www.sedunia.me/campaigns/gojob-mart"
"","Zarina Tom","Zarina Tom's Profile - Sedunia
","","https://www.sedunia.me/users/zarina-tom"
"Developing young people who are passionate about sustainability to become equipped and connected leaders, able to fight environmental challenges of today and tomorrow.How?","Youth Leadership Rainforest Camp 2021","Youth Leadership Rainforest Camp 2021 - Fundraising Campaigns - Sedunia
","Sponsor young Malaysians to a rainforest camp to make them the future green leaders
				 Animals & Wildlife Environment & Climate","https://www.sedunia.me/campaigns/draft-expedition"
"Learning through Service","GreenSmiths","GreenSmiths - Groups - Sedunia
","{{ followerCountText }}  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/greensmithsprojects"
"","Uniwealth Fundraiser to Feed the Hungry","Uniwealth Fundraiser to Feed the Hungry - Fundraising Campaigns - Sedunia
","Support hungry families with food aid. With RM100 you'll be able to feed a family for 2 weeks!
				","https://www.sedunia.me/campaigns/uniwealth-fundraiser-to-feed-the-hungry"
"","","Welcome to Sedunia - Help Center - Sedunia
","","https://www.sedunia.me/help/categories/general"
"","","How do I host a Mission? - Help Center - Sedunia
","","https://www.sedunia.me/help/categories/missions"
"","","How do I create a Group in Sedunia? - Help Center - Sedunia
","","https://www.sedunia.me/help/categories/groups"
"","","I cannot log in to my account. What should I do? - Help Center - Sedunia
","","https://www.sedunia.me/help/categories/account-and-profile"
"","","What is the overall campaign process? - Help Center - Sedunia
","","https://www.sedunia.me/help/categories/campaigns-1"
"Recruit Builder","","Sedunia

","Attended Basic Builder CourseConstruction & Building","https://www.sedunia.me/badges/recruit-builder"
"Rookie Builder","","Sedunia

","Completed an EPIC Home BuildConstruction & Building","https://www.sedunia.me/badges/rookie-builder"
"Master Builder","","Sedunia

","Attended Basic Builder Course, Attended Advanced Builder Course, Attended First Aid Course, Attended Master Builder Course, Completed all components of Epic Homes, Passed Master Builder Under EvaluationConstruction & Building","https://www.sedunia.me/badges/master-builder"
"Specialist Builder","","Sedunia

","Attended Basic Builder Course, Attended Advanced Builder Course, Completed 1 Epic build as Apprentice, Passed Specialist Under EvaluationConstruction & Building","https://www.sedunia.me/badges/specialist-builder"
"Experience Coordinator","","Sedunia

","Attended Basic Builder Course, Attended Experience Coordinator CourseLeadership and Soft Skills","https://www.sedunia.me/badges/experience-coordinator"
"Apprentice Builder","","Sedunia

","Attended Basic Builder Course, Recommended by Specialists & Master BuilderConstruction & Building","https://www.sedunia.me/badges/apprentice-builder"
"MYR500.00","Build an EPIC Home on 27-29 March","Build an EPIC Home on 27-29 March - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-an-epic-home-on-27-29-march#participants"
"Volunteer for a Mission","","Missions - Sedunia
","Find out where you can make a difference and start changing lives!   ","https://www.sedunia.me/missions?tag=workshops&show=upcoming&sort=chronological&page=1"
"","Ping Zhi Chuah","Ping Zhi Chuah's Profile - Sedunia
","","https://www.sedunia.me/users/ping-zhi-chuah"
"","Kai Ying Eng","Kai Ying Eng's Profile - Sedunia
","","https://www.sedunia.me/users/kai-ying-eng"
"","Richard Loh","Richard Loh's Profile - Sedunia
","","https://www.sedunia.me/users/Richard%20Loh"
"","Tiew Kai Xiang","Tiew Kai Xiang's Profile - Sedunia
","","https://www.sedunia.me/users/tiew-kai-xiang"
"","Hashida Lee","Hashida Lee's Profile - Sedunia
","","https://www.sedunia.me/users/hashida-lee"
"","Kar-Munn Tan","Kar-Munn Tan's Profile - Sedunia
","","https://www.sedunia.me/users/kar-munn-tan"
"","Elaine Chen","Elaine Chen's Profile - Sedunia
","","https://www.sedunia.me/users/elaine-chen-1"
"Mobilise & empower ordinary people to make extraordinary impact in communities","EPIC","Campaigns - EPIC - Groups - Sedunia
","3957 followers  |  573 missions  |   9609 mission hours","https://www.sedunia.me/groups/epic/campaigns"
"Mobilise & empower ordinary people to make extraordinary impact in communities","EPIC","EPIC - Groups - Sedunia
","3957 followers  |  573 missions  |   9609 mission hours","https://www.sedunia.me/groups/epic#collapseFilters"
"Mobilise & empower ordinary people to make extraordinary impact in communities","EPIC","EPIC - Groups - Sedunia
","3957 followers  |  573 missions  |   9609 mission hours","https://www.sedunia.me/groups/epic#collapseSocial"
"","John-Son Oei","John-Son Oei's Profile - Sedunia
","","https://www.sedunia.me/users/johnsonoei"
"","Chew Leslie","Chew Leslie's Profile - Sedunia
","","https://www.sedunia.me/users/chew-leslie"
"","Shavitra Balamurali","Shavitra Balamurali's Profile - Sedunia
","","https://www.sedunia.me/users/shavitra-balamurali"
"","I will run 20KM","I will run 20KM - Fundraising Campaigns - Sedunia
","for Homes 4 Malaysia EPIC Homes build for an Orang Asli family.    BOOST","https://www.sedunia.me/campaigns/organise-ping-pong-tournaments"
"","Petrina Thong","Petrina Thong's Profile - Sedunia
","","https://www.sedunia.me/users/petrinanana"
"","Sacha Lerda","Sacha Lerda's Profile - Sedunia
","","https://www.sedunia.me/users/sacha-lerda"
"","Ashley Yeong","Ashley Yeong's Profile - Sedunia
","","https://www.sedunia.me/users/ashleyyeong"
"MYR250.00","Build EPIC Homes on 2nd - 4th May","Build EPIC Homes on 2nd - 4th May - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-2nd-4th-may"
"","Building a Home for an Orang Asli Family","Building a Home for an Orang Asli Family - Fundraising Campaigns - Sedunia
","for Homes 4 Malaysia EPIC Homes build for an Orang Asli family.    BOOST","https://www.sedunia.me/campaigns/creating-a-fundraiser-campaign-on-social-media-and-sharing-it-online"
"","Jey Sern Loo","Jey Sern Loo's Profile - Sedunia
","","https://www.sedunia.me/users/jey-sern-loo"
"","Valeria Stefanutti Gan","Valeria Stefanutti Gan's Profile - Sedunia
","","https://www.sedunia.me/users/valeria-stefanutti-gan"
"","Jade Tan","Jade Tan's Profile - Sedunia
","","https://www.sedunia.me/users/jade-tan"
"FREE","24th July 2025 Basic Builder Workshop for Oleon (64 pax)","24th July 2025 Basic Builder Workshop for Oleon (64 pax) - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/basic-builder-workshop-for-oleon"
"MYR250.00","Build an EPIC Home on 17-19 October","Build an EPIC Home on 17-19 October - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-17-19-october"
"","Leticia Tan","Leticia Tan's Profile - Sedunia
","","https://www.sedunia.me/users/leticia-tan"
"","SooAun  Kok","SooAun  Kok's Profile - Sedunia
","","https://www.sedunia.me/users/sooaun"
"","Frederic  Choo","Frederic  Choo's Profile - Sedunia
","","https://www.sedunia.me/users/frederic-choo"
"MYR250.00","Build EPIC Homes on 25th - 27th April","Build EPIC Homes on 25th - 27th April - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-25th-27th-april"
"","Chu Hwai  Lim ","Chu Hwai  Lim 's Profile - Sedunia
","","https://www.sedunia.me/users/chu-hwai"
"FREE","19 October Basic Builder Workshop ","19 October Basic Builder Workshop  - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/19-october-basic-builder-workshop"
"","Esther Dorai","Esther Dorai's Profile - Sedunia
","","https://www.sedunia.me/users/esther-dorai"
"","Sze Hui Lim","Sze Hui Lim's Profile - Sedunia
","","https://www.sedunia.me/users/sze-hui-lim"
"MYR250.00","Build EPIC Homes on 18th - 20th July","Build EPIC Homes on 18th - 20th July - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-18th-20th-july"
"","Lee shui khei Lee","Lee shui khei Lee's Profile - Sedunia
","","https://www.sedunia.me/users/lee-shui-kheisk-lee"
"","ALVIN CHIN","ALVIN CHIN's Profile - Sedunia
","","https://www.sedunia.me/users/alvin-chin"
"FREE","Build an EPIC Home on 28-30 November ","Build an EPIC Home on 28-30 November  - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-an-epic-homes-hartalega-november"
"","Sarah Amirah Sa’aid Hazley","Sarah Amirah Sa’aid Hazley's Profile - Sedunia
","","https://www.sedunia.me/users/sarah-amirah-sa-aid-hazley"
"MYR250.00","Build EPIC Homes on 11th - 13th April","Build EPIC Homes on 11th - 13th April - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-11th-13th-april"
"","Shan Ming Yap","Shan Ming Yap's Profile - Sedunia
","","https://www.sedunia.me/users/shan-ming-yap"
"","Ross Stephenson","Ross Stephenson's Profile - Sedunia
","","https://www.sedunia.me/users/ross-stephenson"
"FREE","17th July 2025 Basic Builder Workshop for YTL","17th July 2025 Basic Builder Workshop for YTL - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/17th-july-2025-basic-builder-workshop-for-ytl-1"
"FREE","23 August Basic Builder Workshop ","23 August Basic Builder Workshop  - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/23-august-basic-builder-workshop"
"FREE","12 July Basic Builder Workshop  ","12 July Basic Builder Workshop   - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/12-july-basic-builder-workshop"
"","Leeann Ching","Leeann Ching's Profile - Sedunia
","","https://www.sedunia.me/users/leeann-ching-1"
"FREE","24 - 25 November Good Builder Workshop ","24 - 25 November Good Builder Workshop  - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/24-25-november-good-builder-workshop"
"","Fadzli Jani","Fadzli Jani's Profile - Sedunia
","","https://www.sedunia.me/users/fadzli-jani"
"","Raphael Mannadiar","Raphael Mannadiar's Profile - Sedunia
","","https://www.sedunia.me/users/raphael-mannadiar"
"FREE","Build an EPIC Home on 10-12 October","Build an EPIC Home on 10-12 October - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-an-epic-homes-zurich-oct"
"","Siti Nur Shamyra Mohd Sezali","Siti Nur Shamyra Mohd Sezali's Profile - Sedunia
","","https://www.sedunia.me/users/snurshamyra"
"","Charissa Chan","Charissa Chan's Profile - Sedunia
","","https://www.sedunia.me/users/charissa-chan"
"FREE","Mapping Kampung Orang Asli Sungai Peroh - Kahang, Johor","Mapping Kampung Orang Asli Sungai Peroh - Kahang, Johor - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/mapping-kampung-orang-asli-sungai-peroh-kahang-johor"
"","Bhuvana Surya ","Bhuvana Surya 's Profile - Sedunia
","","https://www.sedunia.me/users/bhuvana-surya"
"","Anna Yap","Anna Yap's Profile - Sedunia
","","https://www.sedunia.me/users/anna-yap"
"FREE","Private EPIC Homes Build on 25th - 27th October For MKIS","Private EPIC Homes Build on 25th - 27th October For MKIS - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-25th-27th-october"
"MYR250.00","Build EPIC Homes on 4th - 6th April ","Build EPIC Homes on 4th - 6th April  - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-4th-6th-april"
"FREE","Build EPIC Homes on 4th - 6th July","Build EPIC Homes on 4th - 6th July - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-4th-6th-july"
"","Johnson Ling","Johnson Ling's Profile - Sedunia
","","https://www.sedunia.me/users/johnson-ling"
"MYR250.00","Build EPIC Homes on 27th - 29th June","Build EPIC Homes on 27th - 29th June - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-27th-29th-june"
"","Michelle Tan","Michelle Tan's Profile - Sedunia
","","https://www.sedunia.me/users/michelle-tan-6"
"FREE","11 October Basic Builder Workshop ","11 October Basic Builder Workshop  - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/11-oct-basic-builder-workshop"
"FREE","Mapping Kampung Orang Asli Seri Kenangan - Kluang, Johor","Mapping Kampung Orang Asli Seri Kenangan - Kluang, Johor - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/mapping-kampung-orang-asli-seri-kenangan-kluang-johor"
"","Stride for Survival Empowering the Orang Asli","Stride for Survival Empowering the Orang Asli - Fundraising Campaigns - Sedunia
","for Homes 4 Malaysia EPIC Homes build for an Orang Asli family.    BOOST","https://www.sedunia.me/campaigns/stride-for-survival-empowering-the-orang-asli"
"MYR250.00","Build an EPIC Home on 14-16 November","Build an EPIC Home on 14-16 November - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-an-epic-home-on-14-16-november-2025"
"","Rana Altounjy","Rana Altounjy's Profile - Sedunia
","","https://www.sedunia.me/users/rana-altounjy"
"","Aida May","Aida May's Profile - Sedunia
","","https://www.sedunia.me/users/aida-may"
"","Nur Khalaf","Nur Khalaf's Profile - Sedunia
","","https://www.sedunia.me/users/nur-khalaf"
"","Homes 4 Malaysia EPIC Homes build for an Orang Asli family.","Homes 4 Malaysia EPIC Homes build for an Orang Asli family. - Fundraising Campaigns - Sedunia
","M'KIS Homes 4 Malaysia Club is fundraising to build a home for an Orang Asli family in Malaysia.
				","https://www.sedunia.me/campaigns/homes-4-malaysia-epic-homes-build-for-an-orang-asli-family"
"","Dominic Tham","Dominic Tham's Profile - Sedunia
","","https://www.sedunia.me/users/dominic-tham"
"FREE","Build an EPIC Home on 3-5 October","Build an EPIC Home on 3-5 October - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-an-epic-homes-geaerospace"
"MYR250.00","Build EPIC Homes on 23rd - 25th May","Build EPIC Homes on 23rd - 25th May - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-23rd-25th-may"
"","Sharoh  Yip","Sharoh  Yip's Profile - Sedunia
","","https://www.sedunia.me/users/sharoh-yip-1"
"","Darshan SRINIVASAN","Darshan SRINIVASAN's Profile - Sedunia
","","https://www.sedunia.me/users/darshan-srinivasan"
"","Project: Paying it Forward - Build a house for orang asli","Project: Paying it Forward - Build a house for orang asli - Fundraising Campaigns - Sedunia
","This is a giver project, a contribution back to the society.
				 Poverty Alleviation Housing & Infrastructure Health & Wellbeing Water & Sanitation Partnerships","https://www.sedunia.me/campaigns/dtm-project-paying-it-forward-build-a-house-for-orang-asli-1"
"FREE","Build an EPIC Home on 7-9 November","Build an EPIC Home on 7-9 November - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-an-epic-homes-metlife"
"FREE","5 April Basic Builder Workshop  ","5 April Basic Builder Workshop   - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/5th-april-2025-basic-builder-workshop"
"MYR250.00","Build EPIC Homes on 31st May - 2nd June","Build EPIC Homes on 31st May - 2nd June - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/build-epic-homes-on-31st-2nd-june"
"","Ziad Abou-Rafeh","Ziad Abou-Rafeh's Profile - Sedunia
","","https://www.sedunia.me/users/ziad-abou-rafeh"
